Wavelength Global Direct Diffuse
915 0.28117 0.50196 0.03019
916 0.28969 0.51728 0.03105
917 0.29282 0.52299 0.03133
918 0.30121 0.53809 0.03216
919 0.31547 0.56370 0.03363
920 0.32057 0.57293 0.03411
921 0.31867 0.56966 0.03384
922 0.31796 0.56851 0.03370
923 0.30373 0.54319 0.03214
924 0.31173 0.55761 0.03292
925 0.30851 0.55197 0.03252
926 0.28744 0.51439 0.03025
927 0.28274 0.50607 0.02970
928 0.26417 0.47294 0.02770
929 0.23686 0.42414 0.02479
930 0.20768 0.37196 0.02170
931 0.17780 0.31852 0.01854
932 0.14857 0.26622 0.01547
933 0.12516 0.22431 0.01300
934 0.10613 0.19025 0.01101
935 0.09735 0.17454 0.01008
936 0.10021 0.17971 0.01036
937 0.11535 0.20689 0.01190
938 0.13217 0.23712 0.01361
939 0.15179 0.27237 0.01560
940 0.16459 0.29541 0.01689
941 0.16525 0.29665 0.01693
942 0.15601 0.28012 0.01595
943 0.15675 0.28150 0.01600
944 0.14458 0.25970 0.01473
945 0.14116 0.25360 0.01436
946 0.14277 0.25655 0.01449
947 0.14623 0.26283 0.01482
948 0.15361 0.27614 0.01554
949 0.15973 0.28720 0.01613
950 0.16374 0.29446 0.01651
951 0.16731 0.30094 0.01684
952 0.17016 0.30613 0.01709
953 0.17202 0.30954 0.01725
954 0.17540 0.31568 0.01756
955 0.16922 0.30463 0.01691
956 0.18683 0.33639 0.01864
957 0.19402 0.34940 0.01932
958 0.20295 0.36556 0.02017
959 0.20873 0.37603 0.02071
960 0.21063 0.37953 0.02086
961 0.21219 0.38241 0.02098
962 0.21689 0.39096 0.02141
963 0.22089 0.39825 0.02177
964 0.22632 0.40812 0.02226
965 0.23974 0.43240 0.02354
966 0.24470 0.44142 0.02399
967 0.26589 0.47974 0.02602
968 0.27618 0.49840 0.02698
969 0.28910 0.52180 0.02820
970 0.29714 0.53642 0.02893
971 0.29707 0.53640 0.02887
972 0.29766 0.53755 0.02888
973 0.29088 0.52541 0.02818
974 0.28252 0.51040 0.02732
975 0.28165 0.50893 0.02719
976 0.28592 0.51673 0.02755
977 0.28237 0.51041 0.02717
978 0.29426 0.53200 0.02826
979 0.29178 0.52760 0.02798
980 0.30245 0.54701 0.02895
981 0.31091 0.56241 0.02971
982 0.31599 0.57169 0.03014
983 0.32154 0.58183 0.03062
984 0.32578 0.58961 0.03097
985 0.33189 0.60078 0.03150
986 0.33409 0.60487 0.03166
987 0.34261 0.62040 0.03241
988 0.34139 0.61831 0.03224
989 0.33937 0.61475 0.03199
990 0.34366 0.62262 0.03234
991 0.34780 0.63024 0.03268
992 0.34581 0.62675 0.03244
993 0.34699 0.62899 0.03250
994 0.34992 0.63442 0.03272
995 0.34781 0.63070 0.03246
996 0.34809 0.63131 0.03244
997 0.34842 0.63201 0.03241
998 0.34638 0.62842 0.03217
999 0.34449 0.62509 0.03194
1000 0.34066 0.61825 0.03153
1001 0.34197 0.62074 0.03160
1002 0.34073 0.61858 0.03144
1003 0.33629 0.61062 0.03098
1004 0.33346 0.60559 0.03066
1005 0.31104 0.56496 0.02856
1006 0.32733 0.59465 0.03000
1007 0.33287 0.60481 0.03046
1008 0.33363 0.60630 0.03048
1009 0.33142 0.60239 0.03023
1010 0.33317 0.60566 0.03034
1011 0.33185 0.60336 0.03017
1012 0.33308 0.60569 0.03023
1013 0.33207 0.60395 0.03009
1014 0.33508 0.60953 0.03031
1015 0.32969 0.59982 0.02978
1016 0.33234 0.60474 0.02997
1017 0.32872 0.59826 0.02960
1018 0.33337 0.60682 0.02997
1019 0.32562 0.59281 0.02922
1020 0.32431 0.59052 0.02906
1021 0.32723 0.59592 0.02927
1022 0.32221 0.58687 0.02878
1023 0.32799 0.59749 0.02924
1024 0.32658 0.59502 0.02907
1025 0.32645 0.59487 0.02901
1026 0.32739 0.59668 0.02905
1027 0.32612 0.59446 0.02889
1028 0.32735 0.59679 0.02895
1029 0.32299 0.58894 0.02852
1030 0.32709 0.59651 0.02884
1031 0.32644 0.59541 0.02874
1032 0.32620 0.59505 0.02867
1033 0.32061 0.58495 0.02813
1034 0.32437 0.59191 0.02842
1035 0.32134 0.58646 0.02811
1036 0.32583 0.59475 0.02846
1037 0.31884 0.58207 0.02780
1038 0.32229 0.58846 0.02806
1039 0.32380 0.59130 0.02815
1040 0.31989 0.58426 0.02776
1041 0.32182 0.58787 0.02789
1042 0.32280 0.58975 0.02793
1043 0.31711 0.57944 0.02739
1044 0.32044 0.58561 0.02764
1045 0.31896 0.58298 0.02746
1046 0.30984 0.56641 0.02664
1047 0.31555 0.57692 0.02709
1048 0.31893 0.58319 0.02733
1049 0.31707 0.57988 0.02713
1050 0.31510 0.57636 0.02692
1051 0.31500 0.57627 0.02687
1052 0.31397 0.57447 0.02674
1053 0.31385 0.57432 0.02669
1054 0.31042 0.56812 0.02636
1055 0.31313 0.57317 0.02655
1056 0.31165 0.57055 0.02638
1057 0.31090 0.56925 0.02628
1058 0.30770 0.56347 0.02597
1059 0.29817 0.54609 0.02512
1060 0.30868 0.56543 0.02597
1061 0.29801 0.54596 0.02503
1062 0.30645 0.56150 0.02570
1063 0.30128 0.55209 0.02523
1064 0.30490 0.55881 0.02549
1065 0.30440 0.55798 0.02541
1066 0.29426 0.53945 0.02453
1067 0.30009 0.55023 0.02498
1068 0.29828 0.54698 0.02479
1069 0.27466 0.50374 0.02279
1070 0.28942 0.53088 0.02398
1071 0.28853 0.52932 0.02387
1072 0.28871 0.52973 0.02385
1073 0.27828 0.51065 0.02295
1074 0.28779 0.52818 0.02370
1075 0.27843 0.51107 0.02289
1076 0.28375 0.52091 0.02330
1077 0.28221 0.51815 0.02313
1078 0.28174 0.51736 0.02306
1079 0.26848 0.49307 0.02194
1080 0.27565 0.50631 0.02249
1081 0.26449 0.48587 0.02155
1082 0.26590 0.48853 0.02163
1083 0.25641 0.47116 0.02083
1084 0.26358 0.48440 0.02138
1085 0.25924 0.47649 0.02100
1086 0.26196 0.48155 0.02119
1087 0.24524 0.45087 0.01980
1088 0.26000 0.47808 0.02097
1089 0.25083 0.46127 0.02020
1090 0.25413 0.46740 0.02043
1091 0.25194 0.46343 0.02022
1092 0.24220 0.44557 0.01941
1093 0.23591 0.43406 0.01888
1094 0.21140 0.38901 0.01689
1095 0.22627 0.41642 0.01806
1096 0.22110 0.40696 0.01762
1097 0.21014 0.38685 0.01672
1098 0.19911 0.36659 0.01582
1099 0.19207 0.35367 0.01524
1100 0.18889 0.34786 0.01496
1101 0.18544 0.34155 0.01467
1102 0.17843 0.32868 0.01409
1103 0.18521 0.34120 0.01461
1104 0.18154 0.33448 0.01430
1105 0.17775 0.32754 0.01398
1106 0.17322 0.31924 0.01360
1107 0.17102 0.31523 0.01341
1108 0.17085 0.31494 0.01338
1109 0.17359 0.32004 0.01357
1110 0.17452 0.32180 0.01362
1111 0.16759 0.30906 0.01306
