Wavelength Global Direct Diffuse
751 0.18339 0.65949 0.06887
752 0.18658 0.67183 0.06992
753 0.18392 0.66308 0.06878
754 0.18707 0.67528 0.06981
755 0.18729 0.67689 0.06975
756 0.18306 0.66242 0.06803
757 0.18457 0.66870 0.06845
758 0.18223 0.66103 0.06745
759 0.11325 0.41131 0.04183
760 0.04937 0.17953 0.01820
761 0.03661 0.13327 0.01346
762 0.05637 0.20547 0.02069
763 0.07045 0.25710 0.02581
764 0.07228 0.26408 0.02642
765 0.09812 0.35889 0.03579
766 0.11569 0.42366 0.04212
767 0.13791 0.50565 0.05011
768 0.16232 0.59582 0.05885
769 0.17094 0.62818 0.06185
770 0.17429 0.64126 0.06294
771 0.17685 0.65141 0.06373
772 0.17795 0.65620 0.06400
773 0.17687 0.65296 0.06348
774 0.18007 0.66554 0.06450
775 0.17288 0.63967 0.06180
776 0.18041 0.66828 0.06436
777 0.17898 0.66371 0.06372
778 0.17753 0.65907 0.06308
779 0.17902 0.66535 0.06348
780 0.17608 0.65515 0.06232
781 0.17611 0.65597 0.06220
782 0.17751 0.66192 0.06257
783 0.17413 0.65002 0.06126
784 0.17329 0.64758 0.06084
785 0.17324 0.64809 0.06070
786 0.16815 0.62971 0.05880
787 0.16831 0.63096 0.05874
788 0.16281 0.61100 0.05671
789 0.16185 0.60805 0.05626
790 0.15919 0.59868 0.05523
791 0.15776 0.59393 0.05463
792 0.15552 0.58610 0.05374
793 0.15623 0.58941 0.05388
794 0.15574 0.58813 0.05361
795 0.15459 0.58441 0.05311
796 0.15818 0.59860 0.05424
797 0.15757 0.59688 0.05392
798 0.15706 0.59558 0.05364
799 0.15620 0.59292 0.05324
800 0.15142 0.57532 0.05151
801 0.15396 0.58559 0.05228
802 0.15427 0.58736 0.05228
803 0.15226 0.58025 0.05150
804 0.15496 0.59116 0.05231
805 0.15245 0.58212 0.05136
806 0.15786 0.60339 0.05308
807 0.15696 0.60052 0.05268
808 0.15638 0.59890 0.05238
809 0.15192 0.58238 0.05079
810 0.14767 0.56661 0.04927
811 0.14637 0.56218 0.04875
812 0.14126 0.54307 0.04696
813 0.13536 0.52087 0.04491
814 0.12915 0.49747 0.04277
815 0.12230 0.47153 0.04042
816 0.11794 0.45512 0.03890
817 0.11625 0.44905 0.03828
818 0.11676 0.45141 0.03837
819 0.11367 0.43989 0.03728
820 0.11368 0.44034 0.03722
821 0.11973 0.46419 0.03912
822 0.11782 0.45720 0.03843
823 0.12212 0.47432 0.03975
824 0.12577 0.48895 0.04086
825 0.12681 0.49344 0.04113
826 0.12916 0.50303 0.04181
827 0.12908 0.50318 0.04170
828 0.13104 0.51128 0.04226
829 0.12979 0.50686 0.04178
830 0.12894 0.50397 0.04143
831 0.12780 0.49996 0.04098
832 0.13216 0.51745 0.04230
833 0.12948 0.50740 0.04137
834 0.13431 0.52680 0.04283
835 0.13640 0.53545 0.04342
836 0.13934 0.54748 0.04427
837 0.13938 0.54811 0.04420
838 0.14058 0.55333 0.04450
839 0.13770 0.54242 0.04351
840 0.14303 0.56390 0.04511
841 0.14446 0.57004 0.04548
842 0.14476 0.57170 0.04549
843 0.14522 0.57402 0.04555
844 0.14551 0.57562 0.04555
845 0.14840 0.58756 0.04637
846 0.15104 0.59851 0.04711
847 0.14621 0.57985 0.04552
848 0.15022 0.59622 0.04668
849 0.15144 0.60157 0.04698
850 0.13015 0.51743 0.04030
851 0.15040 0.59842 0.04649
852 0.14420 0.57422 0.04449
853 0.14607 0.58215 0.04499
854 0.11804 0.47078 0.03628
855 0.13048 0.52085 0.04004
856 0.14876 0.59426 0.04556
857 0.15274 0.61065 0.04670
858 0.15036 0.60161 0.04589
859 0.15092 0.60433 0.04598
860 0.14992 0.60082 0.04559
861 0.15030 0.60282 0.04562
862 0.15010 0.60249 0.04548
863 0.15306 0.61484 0.04630
864 0.15288 0.61458 0.04616
865 0.15020 0.60428 0.04527
866 0.12602 0.50740 0.03791
867 0.13425 0.54095 0.04032
868 0.14557 0.58700 0.04364
869 0.14359 0.57947 0.04297
870 0.14949 0.60371 0.04465
871 0.14935 0.60362 0.04454
872 0.14874 0.60160 0.04427
873 0.14935 0.60450 0.04438
874 0.14606 0.59162 0.04332
875 0.14459 0.58611 0.04281
876 0.14570 0.59106 0.04306
877 0.14846 0.60269 0.04380
878 0.14577 0.59221 0.04293
879 0.14599 0.59353 0.04292
880 0.14499 0.58988 0.04255
881 0.13724 0.55880 0.04021
882 0.14464 0.58932 0.04230
883 0.14102 0.57499 0.04117
884 0.14197 0.57931 0.04138
885 0.14322 0.58481 0.04167
886 0.13855 0.56612 0.04024
887 0.13682 0.55947 0.03967
888 0.14055 0.57514 0.04068
889 0.14069 0.57611 0.04065
890 0.13881 0.56881 0.04004
891 0.13556 0.55589 0.03903
892 0.13110 0.53795 0.03768
893 0.12090 0.49647 0.03469
894 0.11748 0.48273 0.03365
895 0.10385 0.42705 0.02970
896 0.09874 0.40628 0.02819
897 0.08809 0.36273 0.02510
898 0.08115 0.33437 0.02309
899 0.07600 0.31336 0.02158
900 0.07180 0.29627 0.02036
901 0.07086 0.29255 0.02005
902 0.07224 0.29847 0.02041
903 0.08003 0.33089 0.02258
904 0.08493 0.35136 0.02392
905 0.08639 0.35764 0.02429
906 0.08278 0.34293 0.02323
907 0.08085 0.33515 0.02265
908 0.07485 0.31050 0.02094
909 0.06982 0.28981 0.01950
910 0.06800 0.28245 0.01896
911 0.06664 0.27696 0.01854
912 0.06636 0.27598 0.01844
913 0.06764 0.28148 0.01876
914 0.06761 0.28155 0.01872
915 0.06790 0.28294 0.01877
916 0.07102 0.29613 0.01960
917 0.07338 0.30615 0.02021
918 0.07753 0.32370 0.02132
919 0.08354 0.34900 0.02294
920 0.08674 0.36259 0.02378
921 0.08738 0.36551 0.02391
922 0.08771 0.36712 0.02396
923 0.08359 0.35006 0.02280
924 0.08463 0.35466 0.02304
925 0.08218 0.34461 0.02234
926 0.07444 0.31235 0.02020
927 0.07010 0.29430 0.01899
928 0.06162 0.25887 0.01667
